id,name,symbol,cmc_rank,price,percent_change_1h,percent_change_24h,market_cap,volume_24h,last_updated
30171,Ethena,ENA,30,0.6722209096654603,0.02008893,-0.70009574,4630971860.49221,413956845.26948345,2025-09-20T08:35:00.000Z
7278,Aave,AAVE,31,298.4592160985285,-0.41701978,-3.15862048,4546135074.503448,339753578.73641264,2025-09-20T08:35:00.000Z
24478,Pepe,PEPE,32,1.0742983413423475e-05,-0.22198972,-2.92694241,4519464614.172805,483399434.0097445,2025-09-20T08:35:00.000Z
3897,OKB,OKB,33,192.67142006698862,0.15449093,-0.79704583,4046099821.406761,106172917.02509438,2025-09-20T08:34:00.000Z
6535,NEAR Protocol,NEAR,34,3.128577835400443,0.43537647,-3.35727863,3910212311.034761,514027983.12966937,2025-09-20T08:35:00.000Z
11092,Bitget Token,BGB,35,5.189958298572808,0.02905588,-0.2831416,3613624724.852744,248926271.09323663,2025-09-20T08:35:00.000Z
22974,Bittensor,TAO,36,345.13984371499834,-0.22006211,-3.06324636,3421552255.346675,98899058.56750268,2025-09-20T08:35:00.000Z
35626,Story,IP,37,10.711710470881398,-0.81120892,4.88814089,3348481400.170416,251972969.68255886,2025-09-20T08:35:00.000Z
21794,Aptos,APT,38,4.712965589844848,1.44962428,1.18585315,3306870558.584442,331207235.37941724,2025-09-20T08:35:00.000Z
21159,Ondo,ONDO,39,1.0219340096137404,-0.19660302,-3.80569863,3228399423.911926,152317650.4145122,2025-09-20T08:35:00.000Z
1321,Ethereum Classic,ETC,40,20.328074935158543,0.06573705,-1.78110433,3122203179.9720297,114729748.44719334,2025-09-20T08:35:00.000Z
13502,Worldcoin,WLD,41,1.504140523709185,0.69303463,-3.28941056,3080869154.6520534,262064478.25221226,2025-09-20T08:35:00.000Z
35697,Pi,PI,42,0.355283693518774,0.03057579,-0.95786891,2898590793.2838607,25155949.24351765,2025-09-20T08:35:00.000Z
11841,Arbitrum,ARB,43,0.49357775026704975,-0.19177668,-4.10140572,2667111839.264388,334133458.1946,2025-09-20T08:35:00.000Z
36148,World Liberty Financial USD,USD1,44,1.0004867770463244,0.01470849,0.04286051,2659246972.725885,313143545.5135032,2025-09-20T08:34:00.000Z
28321,POL (prev. MATIC),POL,45,0.2523522128376369,-0.0917307,-1.8880592,2648747064.5206933,143474017.6797043,2025-09-20T08:35:00.000Z
8916,Internet Computer,ICP,46,4.771752664334219,0.13283761,-2.27482812,2567623303.6482887,60316960.01964965,2025-09-20T08:35:00.000Z
36507,Pump.fun,PUMP,47,0.006976125454687096,-0.36044055,-5.71893152,2469548410.959232,497115749.5949047,2025-09-20T08:35:00.000Z
36410,MYX Finance,MYX,48,11.726700068109983,4.07461673,-9.31439604,2311469557.1446233,214115916.44422743,2025-09-20T08:35:00.000Z
20396,Kaspa,KAS,49,0.08504729170609479,0.07308721,-1.69942825,2272328826.056001,37797548.29379363,2025-09-20T08:35:00.000Z
35491,MemeCore,M,50,2.1720503189408045,-1.10850931,-14.34466468,2257848621.9446063,31135285.97963477,2025-09-20T08:35:00.000Z
34466,Pudgy Penguins,PENGU,51,0.03518686203842403,-0.07371843,-7.12047315,2211860084.9009266,334417317.48859555,2025-09-20T08:35:00.000Z
3077,VeChain,VET,52,0.024977441791422157,0.12294476,-4.64088716,2147686360.931555,54947228.45165846,2025-09-20T08:35:00.000Z
3794,Cosmos,ATOM,53,4.480443200177922,-0.04190541,-3.81171769,2101726620.3282614,107275671.49594437,2025-09-20T08:35:00.000Z
4030,Algorand,ALGO,54,0.23627464519457048,-0.06377641,-2.39935794,2074723050.2843251,65708818.58080617,2025-09-20T08:35:00.000Z
5690,Render,RENDER,55,3.9684001520696945,0.38537342,-1.15855223,2057951269.6465158,56048848.46543609,2025-09-20T08:35:00.000Z
2087,KuCoin Token,KCS,56,15.803384028840075,0.7647786,0.00468798,2012711842.604557,2962720.93387228,2025-09-20T08:34:00.000Z
23149,Sei,SEI,57,0.32189720381739584,0.33448813,-4.02264394,1972514532.0306778,151235237.7570674,2025-09-20T08:34:00.000Z
23095,Bonk,BONK,58,2.3571449316318945e-05,-0.20799798,-4.53752773,1914406692.6462975,274642124.48408544,2025-09-20T08:35:00.000Z
36341,Aster,ASTER,59,1.069888930666826,15.64675196,64.41981149,1773554880.3663974,759337106.9268245,2025-09-20T08:35:00.000Z
7950,Flare,FLR,60,0.023092541923530118,-0.19993996,-2.32177963,1710568227.6842577,5253134.95406207,2025-09-20T08:34:00.000Z
2280,Filecoin,FIL,61,2.4689246972719205,0.13280447,-3.22331336,1703471720.1034346,132477979.4753663,2025-09-20T08:35:00.000Z
35336,OFFICIAL TRUMP,TRUMP,62,8.466873153826969,-0.01159171,-0.89868542,1693368407.9783869,220202590.23495245,2025-09-20T08:35:00.000Z
